mag_x,mag_y,mag_z
4.480597,-13.80024,11.230779
4.480597,-13.80024,11.230779
8.244299,-2.509135,7.256811
6.093613,-0.358448,8.984623
9.498867,-1.254567,6.047342
1.613015,13.80024,5.010655
-0.896119,2.329911,14.340841
-0.896119,2.329911,14.340841
-5.376717,-8.602747,16.932558
-7.527404,-22.940658,16.586996
-15.592479,-25.270568,17.450902
-26.883584,-17.922389,21.079307
-26.883584,-17.922389,21.079307
-28.138151,-13.083345,20.560964
-27.421255,-0.537672,17.796464
-27.600479,5.018269,18.314807
-30.468061,0.716896,19.351495
-30.468061,0.716896,19.351495
-28.675823,-5.735165,20.388183
-26.345912,-11.291106,20.906526
-14.69636,3.942926,17.969245
-10.394987,6.45206,16.241434
-10.394987,12.904121,12.78581
-10.394987,12.904121,12.78581
-14.158688,16.309373,12.958592
-16.488597,21.14842,8.984623
-18.280838,23.657554,8.984623
-18.460062,19.893852,10.539654
-18.997732,12.545673,14.859185
-18.997732,12.545673,14.859185
-18.997732,6.45206,17.623683
-20.073076,-2.150687,20.042621
-21.327644,-8.781971,20.215402
-20.2523,-12.008002,21.597652
-19.893852,-12.008002,21.943214
-19.893852,-12.008002,21.943214
-19.714628,-0.716896,18.660371
-15.592479,9.140419,16.414215
-14.337912,16.488597,12.094685
-17.384717,17.026269,10.885217
-17.205493,13.262569,14.16806
-17.205493,13.262569,14.16806
-18.280838,-3.584478,19.697057
-19.893852,-9.857315,20.906526
-19.35618,-9.319643,20.733745
-17.026269,-6.272836,20.906526
-18.460062,7.34818,17.10534
-18.460062,7.34818,17.10534
-18.460062,7.34818,17.10534
-18.101613,17.384717,12.613029
-23.119882,5.555941,17.10534
-23.47833,2.329911,19.524276
-23.47833,2.329911,19.524276
-23.657554,-1.075343,19.697057
-22.940658,-3.942926,21.424871
-21.506866,-3.942926,20.733745
-24.37445,-1.433791,20.042621
-23.299106,5.376717,16.586996
-23.299106,5.376717,16.586996
-18.280838,11.47033,15.895873
-14.69636,19.714628,10.712436
-10.036539,32.618747,-5.183436
-13.083345,37.099346,-12.958592
-13.083345,37.099346,-12.958592
-15.592479,34.948657,-8.120718
-18.639286,23.299106,8.984623
-20.073076,12.904121,15.895873
-22.044538,5.914389,18.833152
-20.2523,0.179224,20.560964
-20.2523,0.179224,20.560964
-19.176956,-3.763702,22.634338
-19.714628,-3.942926,19.351495
-24.016002,-1.792239,21.079307
-24.37445,1.433791,19.005933
-22.940658,0.716896,19.697057
-22.940658,0.716896,19.697057
-23.119882,-2.329911,19.178714
