mag_x,mag_y,mag_z
-26.166688,-31.184957,22.115995
-25.987464,-19.893852,25.053276
-15.413255,-9.319643,23.152683
-1.792239,5.376717,15.895873
-1.792239,5.376717,15.895873
5.555941,15.592479,5.010655
6.810508,26.166688,-10.021311
1.971463,32.439525,-27.817775
-11.828778,34.410987,-39.739677
-35.307106,24.195226,-53.04383
-35.307106,24.195226,-53.04383
-55.380184,7.706627,-49.588207
-64.341377,-4.480597,-35.765712
-68.821975,-13.979464,-17.278121
-63.086811,-21.14842,-1.727812
-55.559406,-22.940658,8.293498
-55.559406,-22.940658,8.293498
-50.003467,-26.345912,12.267467
-45.702095,-30.288837,13.649717
-53.229496,-25.987464,10.194092
-53.229496,-11.649554,11.921904
-48.032005,3.942926,12.440248
-48.032005,3.942926,12.440248
-37.995464,16.488597,12.094685
-31.543405,28.317375,6.565686
-23.299106,27.958927,7.256811
-12.008002,32.081077,1.555031
-12.008002,32.081077,1.555031
-3.584478,34.410987,-8.639061
-11.828778,39.787704,-18.660371
-24.37445,40.146152,-25.226057
-24.732896,38.353912,-40.085243
-18.280838,24.016002,-54.944427
-18.280838,24.016002,-54.944427
-11.828778,14.337912,-50.797676
-5.914389,11.291106,-50.624897
4.480597,10.932658,-42.676959
13.262569,8.602747,-32.137306
13.262569,8.602747,-32.137306
17.384717,-4.480597,-19.524276
15.413255,-16.130149,-9.675748
11.291106,-24.553672,-1.209468
1.433791,-34.410987,8.293498
-6.45206,-40.863048,11.057998
-6.45206,-40.863048,11.057998
-6.093613,-46.956661,-1.036687
3.22603,-41.938392,-15.55031
6.989732,-39.608482,-11.576342
12.366449,-27.779703,-2.937281
11.828778,-17.922389,6.220124
11.828778,-17.922389,6.220124
6.272836,-10.215763,15.377529
-2.688358,-11.649554,19.869838
-6.989732,-10.215763,20.906526
-13.621016,-9.678091,23.152683
-28.317375,-2.867582,21.424871
-28.317375,-2.867582,21.424871
-36.561676,7.527404,16.586996
-32.618747,5.735165,18.660371
-20.789972,-2.867582,22.115995
-17.026269,-15.950927,22.979902
-16.488597,-24.016002,21.424871
-16.488597,-24.016002,21.424871
-17.384717,-21.68609,22.979902
-21.68609,-26.70436,21.943214
-32.260299,-30.468061,20.733745
-35.486331,-27.600479,20.042621
-48.748901,-20.073076,17.278121
-48.748901,-20.073076,17.278121
-59.860782,-1.433791,5.874561
-54.30484,13.441793,3.973968
-50.182689,20.431524,1.38225
-49.465793,29.392719,-6.565686
-49.465793,29.392719,-6.565686
-47.852779,33.156421,-24.707714
-37.278572,32.260299,-43.195304
-30.826509,25.449792,-56.326675
-21.327644,4.480597,-64.101829
-21.327644,4.480597,-64.101829
-14.337912,-17.205493,-60.127861
-14.875584,-34.948657,-50.970458
-14.158688,-47.852779,-35.074584
-10.215763,-52.871047,-20.215402
-8.961195,-52.333377,-11.40356
-8.961195,-52.333377,-11.40356
-3.22603,-46.956661,-6.220124
-1.075343,-45.522869,-7.947936
3.942926,-40.146152,-4.492311
6.093613,-40.5046,-7.256811
3.405254,-41.04227,-4.665093
3.405254,-41.04227,-4.665093
-1.613015,-45.702095,-2.246156
-10.036539,-48.032005,1.38225
-16.847045,-46.956661,6.911249
-23.119882,-43.909854,15.723091
-22.58221,-27.958927,23.152683
-22.58221,-27.958927,23.152683
-13.979464,-18.997732,21.770433
-14.69636,-20.073076,22.807119
-31.005733,-28.496599,21.943214
-49.465793,-29.034271,15.895873
-54.663288,-32.797973,7.08403
-54.663288,-32.797973,7.08403
-54.484062,-42.655288,-4.492311
-48.390453,-50.182689,-18.660371
-41.400718,-49.645019,-28.508899
-36.920124,-45.881317,-41.813053
-28.317375,-31.184957,-55.635551
-28.317375,-31.184957,-55.635551
-28.317375,-31.184957,-55.635551
-15.234031,27.421255,-52.352706
-20.073076,39.787704,-30.755056
-26.166688,40.146152,-11.749123
-33.335643,37.995464,-10.021311
-33.335643,37.995464,-10.021311
-44.268302,31.005733,-6.392905
-53.587944,24.553672,-5.70178
-63.803707,2.509135,-2.418937
-60.040004,-14.158688,7.429592
-60.040004,-14.158688,7.429592
-50.541137,-26.525136,15.55031
-36.740898,-31.364181,20.560964
-27.600479,-35.486331,19.005933
-21.327644,-37.816242,18.142026
-21.327644,-37.816242,18.142026
-16.309373,-39.608482,16.414215
-8.961195,-39.070808,11.40356
-9.857315,-34.948657,16.414215
-8.961195,-34.052539,17.623683
-12.366449,-31.364181,18.833152
-12.366449,-31.364181,18.833152
-11.649554,-21.68609,18.833152
-11.828778,-21.14842,20.042621
-13.621016,-26.166688,18.660371
-4.480597,-26.345912,16.414215
-0.896119,-34.231765,8.120718
-0.896119,-34.231765,8.120718
-8.244299,-43.730628,4.146749
-24.016002,-53.767169,-3.455624
-35.844779,-55.917854,-6.565686
-36.38245,-55.021736,-11.921904
-29.034271,-54.125617,-21.770433
-29.034271,-54.125617,-21.770433
-20.2523,-44.985198,-40.949146
-7.34818,-19.893852,-54.426082
